eplenmean,eprewmax,eprewmean,eprewmin,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
125.0,-0.08371812492560021,-0.09999626051808246,-0.11304304914295867,0.0020911693572998047,2952,1,1.4189425706863403,-0.22667653858661652,2000,0.5000622868537903
125.0,-0.05716267169540098,-0.09499775424822693,-0.13673244765206163,0.02057826519012451,3530,50,1.3697113990783691,-0.14560092985630035,100000,0.49448972940444946
125.0,-0.052817502591200355,-0.08519039234517542,-0.12303485688806623,-0.1251744031906128,3530,100,1.3202507495880127,-0.15492160618305206,200000,0.5033326148986816
125.0,-0.054198180387765776,-0.08075930623758534,-0.12000951914027105,-0.06881237030029297,3529,150,1.2768889665603638,-0.2973923683166504,300000,0.5068566203117371
125.0,-0.04637506185091531,-0.07095005700652764,-0.10258809982321691,0.002276182174682617,3536,200,1.2249146699905396,-0.19569924473762512,400000,0.4916674792766571
125.0,-0.043985325633602954,-0.06545698201779099,-0.09594504862170683,-0.27406084537506104,3533,250,1.1776155233383179,-0.29052427411079407,500000,0.4796719253063202
125.0,-0.03960831609857118,-0.062047873477673335,-0.08994391480317844,-0.1348116397857666,3532,300,1.1375869512557983,0.15509775280952454,600000,0.4617616534233093
125.0,-0.03980907567503337,-0.05807300107826327,-0.09794245677058533,0.018054187297821045,3529,350,1.1058646440505981,-0.24124348163604736,700000,0.49197736382484436
125.0,-0.03491092520113607,-0.054542132719812286,-0.08483583440205496,-0.44217169284820557,3530,400,1.064464807510376,-0.08295360207557678,800000,0.44291138648986816
125.0,-0.03687933063311587,-0.0615182249245629,-0.1218500433093848,-0.42706525325775146,3532,450,1.0424461364746094,-0.2898850739002228,900000,0.44106176495552063
125.0,-0.033042158570560344,-0.050335447123547955,-0.0901024123310973,-0.9544525146484375,3531,500,1.015514612197876,0.1088535338640213,1000000,0.45919573307037354
125.0,-0.026864942655736124,-0.04825288569075314,-0.0745377654554697,-0.27369987964630127,3531,550,0.9936487078666687,-0.2647208869457245,1100000,0.3641968369483948
125.0,-0.030633225365839747,-0.046213729467974154,-0.07790446128485218,-0.11710524559020996,3531,600,0.9660489559173584,-0.32568293809890747,1200000,0.4461490213871002
125.0,-0.027590502785890075,-0.044636806484699004,-0.08476188789434726,-0.5092822313308716,3529,650,0.9447672963142395,-0.13025976717472076,1300000,0.49582335352897644
125.0,-0.024806360450959974,-0.042403167687936255,-0.08368158527902972,-0.16158688068389893,3529,700,0.9063876271247864,-0.1147686243057251,1400000,0.4629177749156952
125.0,-0.020083456432023524,-0.034895573211741804,-0.05210980359042477,-0.0858086347579956,3527,750,0.8504955172538757,-0.169939786195755,1500000,0.4870484471321106
125.0,-0.02057351669633262,-0.031688721729210736,-0.05369336190057073,-0.4895285367965698,3526,800,0.8048507571220398,-0.11892737448215485,1600000,0.3697360157966614
125.0,-0.018203419071325652,-0.042316985580985234,-0.11532685164781181,-0.013409852981567383,3526,850,0.7817674875259399,-0.09488384425640106,1700000,0.4937250018119812
125.0,-0.01571211670040013,-0.033369506402214755,-0.07297214758908181,-0.2982074022293091,3525,900,0.7427064180374146,-0.10226935148239136,1800000,0.3123790919780731
125.0,-0.017165478206950104,-0.04524872466023591,-0.16613797677023157,-0.012113809585571289,3526,950,0.7309364676475525,-0.20307406783103943,1900000,0.5004658699035645
125.0,-0.017677170974291376,-0.028744846882311582,-0.052066167836762406,-0.9132610559463501,3526,1000,0.689651370048523,-0.06572245806455612,2000000,0.39056596159935
125.0,-0.01667502890846481,-0.028130172060630204,-0.05074999770857782,-1.2661898136138916,3525,1050,0.6695262789726257,-0.1561068594455719,2100000,0.39213812351226807
125.0,-0.015685956013741915,-0.025841771369006547,-0.04365466938077689,-0.2721961736679077,3525,1100,0.6589400172233582,-0.2861211597919464,2200000,0.40966081619262695
125.0,-0.014468382135710178,-0.027705349914137502,-0.06079578168285222,-0.4886430501937866,3525,1150,0.6448673009872437,-0.16210168600082397,2300000,0.3481532633304596
125.0,-0.013909441406051912,-0.02722242564880399,-0.05804179756921464,-0.7135263681411743,3525,1200,0.633320689201355,0.0979994684457779,2400000,0.4253501892089844
125.0,-0.013415977588641208,-0.03009170543169109,-0.06910565645751085,-0.9805313348770142,3525,1250,0.6108855605125427,0.057731930166482925,2500000,0.41971367597579956
125.0,-0.014519654614962067,-0.0335980323357304,-0.0938060012263864,0.585145115852356,3525,1300,0.5992950201034546,0.09402390569448471,2600000,0.2859152853488922
125.0,-0.012611982805509715,-0.021335282360055254,-0.059756404715195395,-0.49134373664855957,3525,1350,0.556513249874115,-0.034753091633319855,2700000,0.34169846773147583
125.0,-0.01076565636201138,-0.0303525206844571,-0.10177654616541791,-0.07093095779418945,3525,1400,0.5240172147750854,-0.309866726398468,2800000,0.5466675758361816
125.0,-0.011788156473017253,-0.027315024869468955,-0.1420017366571791,-1.3086540699005127,3525,1450,0.503816545009613,-0.2721961736679077,2900000,0.388302743434906
125.0,-0.013536728002041951,-0.02849420248228353,-0.055068492099771674,-0.688579797744751,3524,1500,0.4895630180835724,-0.09875913709402084,3000000,0.47287648916244507
125.0,-0.010845977337576073,-0.022518442447933825,-0.05008718190246847,-0.8454924821853638,3524,1550,0.4722065329551697,-0.10805802047252655,3100000,0.36227643489837646
125.0,-0.010277334526339544,-0.031233680043502687,-0.13404181204933385,-0.09474372863769531,3524,1600,0.4605885446071625,-0.10615376383066177,3200000,0.5153077244758606
125.0,-0.010241037210771634,-0.019939634803816223,-0.03946934689693314,-0.9836622476577759,3523,1650,0.4258979856967926,-0.12250422686338425,3300000,0.43368151783943176
125.0,-0.010224550670870627,-0.02660201518056241,-0.08070583286049601,-0.7989503145217896,3522,1700,0.4066672623157501,-0.21895413100719452,3400000,0.47926875948905945
125.0,-0.00999925840394007,-0.021604743275956864,-0.06907278449091582,-0.2076665163040161,3522,1750,0.3960776627063751,-0.04043058305978775,3500000,0.34482312202453613
125.0,-0.00963293825775978,-0.025382441148501144,-0.07837116201537121,-0.5894654989242554,3521,1800,0.37896728515625,-0.401796817779541,3600000,0.7781988382339478
125.0,-0.008575190391671204,-0.026716407768610385,-0.10534423856099444,-0.9835819005966187,3521,1850,0.3738562762737274,-0.08698562532663345,3700000,0.46913304924964905
125.0,-0.008752485846981852,-0.020689166809216425,-0.051543426319833045,-0.663227915763855,3520,1900,0.35671231150627136,-0.05268710106611252,3800000,0.3735024333000183
125.0,-0.009065715762745308,-0.022900650383322403,-0.06355021556113848,-0.37685465812683105,3520,1950,0.34650689363479614,-0.06568235903978348,3900000,0.3279963433742523
125.0,-0.008845528352304661,-0.01792785104197833,-0.033464122231275185,-0.40081143379211426,3520,2000,0.3367897570133209,-0.0036974907852709293,4000000,0.31397026777267456
125.0,-0.008571296682711478,-0.02006010430373763,-0.04254992410767375,-0.42652881145477295,3520,2050,0.3242347240447998,-0.1719915121793747,4100000,0.48166346549987793
125.0,-0.008021648041608183,-0.01723312861747941,-0.05249283131547944,-0.5687824487686157,3519,2100,0.30516350269317627,-0.07742126286029816,4200000,0.39035025238990784
125.0,-0.007501700975062306,-0.0169855403188852,-0.03355172977659089,-1.1982824802398682,3519,2150,0.2798183262348175,-0.061772458255290985,4300000,0.396403968334198
125.0,-0.0073658699200475,-0.02673971703318399,-0.09781959881732519,-0.5192832946777344,3519,2200,0.26451408863067627,-0.014410256408154964,4400000,0.6175114512443542
125.0,-0.0068627120320938866,-0.012810382522780026,-0.04026519866994138,-0.530815839767456,3518,2250,0.24146294593811035,-0.08700530230998993,4500000,0.3977659344673157
125.0,-0.006008405779512954,-0.021526185809894648,-0.06181912192804938,-0.5075300931930542,3518,2300,0.22524559497833252,0.0007800994208082557,4600000,0.3052767217159271
125.0,-0.007194729780314979,-0.01949848950836963,-0.04294060084525328,-0.4244723320007324,3518,2350,0.2132718712091446,-0.11714483797550201,4700000,0.4386775493621826
125.0,-0.007208100125272442,-0.014376460915964527,-0.0322672048154142,-1.4605531692504883,3518,2400,0.20337563753128052,-0.07532770931720734,4800000,0.39958590269088745
125.0,-0.005932947783664637,-0.019628395832528737,-0.07386685698119434,-0.15339219570159912,3517,2450,0.19733427464962006,-0.04971891641616821,4900000,0.4819246530532837
125.0,-0.006013666796761788,-0.01705127945882948,-0.05274124822603678,-0.8519669771194458,3518,2500,0.17704497277736664,-0.002156974747776985,5000000,0.3898249566555023
